Name,Interviewer,Score
Jule,Akosua,8.8
Jule,Buckley,9.5
Jule,Valentine,9.8
Jule,Falicia,9.2
Aeriel,Akosua,8.9
Aeriel,Falicia,9.9
Aeriel,Buckley,8.0
Aeriel,Natalina,10.0
Carl,Akosua,9.0
Carl,Falicia,9.3
Carl,Valentine,9.2
Carl,Buckley,8.0
Suhas,Akosua,9.2
Suhas,Valentine,9.0
Suhas,Buckley,8.5
Audery,Akosua,9.6
Audery,Falicia,9.0
Audery,Valentine,8.5
Audery,Buckley,8.2
Tahira,Akosua,8.9
Tahira,Amber,7.8
Tahira,Natalina,8.5
Tahira,Tywann,9.5
Audry,Akosua,7.9
Audry,Amber,7.2
Audry,Shekeya,7.0
Katerine,Akosua,8.4
Katerine,Valentine,7.2
Katerine,Alvera,9.6
Cortnee,Akosua,8.2
Cortnee,Falicia,6.0
Cortnee,Tywann,8.5
Jeancarlos,Akosua,8.8
Jeancarlos,Valentine,7.8
Jeancarlos,Falicia,10.0
Mya,Akosua,9.3
Mya,Valentine,7.5
Mya,Alvera,8.7
Mya,Amber,9.0
Fuquan,Akosua,9.5
Fuquan,Leandrew,9.5
Fuquan,Alvera,9.3
Fuquan,Valentine,8.5
Tyquarius,Akosua,9.7
Tyquarius,Amber,9.1
Tyquarius,Tywann,9.8
Tyquarius,Valentine,9.8
Shayanna,Akosua,8.4
Shayanna,Falicia,7.0
Shayanna,Alvera,8.6
Ivon,Akosua,9.1
Ivon,Valentine,9.5
Ivon,Leandrew,9.4
Ivon,Amber,10.1
Guiliana,Akosua,8.9
Guiliana,Valentine,8.5
Guiliana,Tywann,9.5
Sadiya,Akosua,9.0
Sadiya,Valentine,7.0
Sadiya,Deborah,9.0
Makynzee,Amber,9.0
Makynzee,Valentine,8.8
Reaford,Amber,9.0
Reaford,Akosua,9.4
Sampson,Akosua,7.8
Sampson,Valentine,7.5
Sampson,Deborah,9.5
Vantasia,Akosua,8.8
Vantasia,Terrena,7.9
Vantasia,Amber,8.5
Donnamae,Akosua,9.6
Donnamae,Valentine,9.0
Yalitza,Akosua,8.0
Yalitza,Valentine,8.5
Yalitza,Amber,7.5
Yalitza,Deborah,8.7
Cnythia,Akosua,8.9
Cnythia,Valentine,9.0
Cnythia,Amber,8.7
Cnythia,Jennett,9.0
Keren,Amber,9.1
Keren,Valentine,8.5
Keren,Natsumi,9.3
Keren,Akosua,8.8
Audrie,Alvera,9.4
Audrie,Valentine,8.2
Audrie,Calliope,9.0
Audrie,Jennett,7.0
Audrie,Akosua,8.1
Amita,Falicia,10.0
Amita,Amber,9.9
Amita,Jennett,10.0
Amita,Alvera,9.6
Amita,Akosua,9.5
Alf,Jennett,9.0
Alf,Calliope,7.9
Alf,Alvera,9.2
Alf,Valentine,9.0
Alf,Akosua,8.9
Queenie,Natsumi,8.8
Queenie,Valentine,9.5
Queenie,Calliope,8.8
Queenie,Alvera,9.8
Queenie,Akosua,9.5
Andreana,Calliope,8.7
Andreana,Jennett,9.0
Andreana,Natsumi,7.8
Andreana,Alvera,8.9
Andreana,Akosua,8.5
Cookie,Jennett,7.0
Cookie,Valentine,7.8
Cookie,Alvera,9.0
Cookie,Akosua,8.0
